exe,min_s,median_s,max_s
vec_all_pragmas,1.88892387971282,1.896115658339113,1.9006447806023061
vec_nopragma,1.887093296740204,1.8939158227294683,1.910571021027863
vec_only_angle,1.8894549566321075,1.892139483243227,1.892740554176271
vec_only_bn,1.890657558105886,1.8952108966186643,1.899450046941638
vec_only_bond,1.900075701996684,1.9091757582500577,1.9181307819671929
vec_only_kdk,1.8780066682957113,1.8805017680861056,1.883296050131321
