Time,Infected,Susceptibile,Recovered
0.000000000000,10.000000000000,990.000000000000,0.000000000000
1.000000000000,11.022371125212,987.932407769050,1.045221105738
2.000000000000,12.144072816216,985.658846304808,2.197080878976
3.000000000000,13.373637655501,983.160470134356,3.465892210143
4.000000000000,14.720090352334,980.417066095414,4.862843552252
5.000000000000,16.192921632699,977.407031292051,6.400047075250
6.000000000000,17.802046537887,974.107369930011,8.090583532101
7.000000000000,19.557744028278,970.493713831447,9.948542140275
8.000000000000,21.470574517646,966.540372023067,11.989053459287
9.000000000000,23.551271760831,962.220415341493,14.228312897676
10.000000000000,25.810605423506,957.505802456753,16.683592119741
11.000000000000,28.259210725811,952.367554017609,19.373235256580
12.000000000000,30.907381829243,946.775981695166,22.316636475592
13.000000000000,33.764826192927,940.700978655054,25.534195152019
14.000000000000,36.840378030198,934.112377323515,29.047244646287
15.000000000000,40.141670316718,926.980379123587,32.877950559695
16.000000000000,43.674766596262,919.276059040927,37.049174362811
17.000000000000,47.443756139027,910.971945345896,41.584298515078
18.000000000000,51.450318837041,902.042671490189,46.507009672771
19.000000000000,55.693269531008,892.465693102809,51.841037366184
20.000000000000,60.168095148448,882.222058191817,57.609846659736
21.000000000000,64.866501912296,871.297213267071,63.836284820634
22.000000000000,69.775993683569,859.681822395659,70.542183920773
23.000000000000,74.879505875551,847.372570564462,77.747923559989
24.000000000000,80.155121890675,834.372917644670,85.471960464656
25.000000000000,85.575900210812,820.693765312381,93.730334476808
26.000000000000,91.109839646369,806.353997103031,102.536163250600
27.000000000000,96.720007417240,791.380851967187,111.899140615575
28.000000000000,102.364849440802,775.810094743223,121.825055815976
29.000000000000,107.998694401340,759.685953156726,132.315352441935
30.000000000000,113.572453117078,743.060800292959,143.366746589964
31.000000000000,119.034502967631,725.994573608616,154.970923423753
32.000000000000,124.331734562551,708.553935718535,167.114329718915
33.000000000000,129.410725526907,690.811197340707,179.778077132386
34.000000000000,134.218995481019,672.843037597656,192.937966921326
35.000000000000,138.706288192979,654.729069954205,206.564641852816
36.000000000000,142.825822473566,636.550312114962,220.623865411473
37.000000000000,146.535453290894,618.387624181277,235.076922527830
38.000000000000,149.798688964132,600.320180676783,249.881130359085
39.000000000000,152.585518800356,582.424038608497,264.990442591147
40.000000000000,154.873017348251,564.770855975852,280.356126675897
41.000000000000,156.645705387815,547.426803961840,295.927490650345
42.000000000000,157.895662502742,530.451702638999,311.652634858259
43.000000000000,158.622400238997,513.898395734476,327.479204026528
44.000000000000,158.832517258833,497.812366115426,343.355116625742
45.000000000000,158.539167674547,482.231581275797,359.229251049657
46.000000000000,157.761380382286,467.186548025478,375.052071592236
47.000000000000,156.523270583899,452.700548254974,390.776181161128
48.000000000000,154.853184989392,438.790023187996,406.356791822612
49.000000000000,152.782819892143,425.465071769923,421.752108337935
50.000000000000,150.346347017067,412.730029392265,436.923623590668
51.000000000000,147.579576429873,400.584095519744,451.836328050384
52.000000000000,144.519179511432,389.021982421589,466.458838066980
53.000000000000,141.201988609593,378.034561588779,480.763449801629
54.000000000000,137.664383927933,367.609489087162,494.726126984906
55.000000000000,133.941772812496,357.731795688233,508.326431499273
56.000000000000,130.068162042909,348.384431870268,521.547406086824
57.000000000000,126.075820103972,339.548761523272,534.375418372757
58.000000000000,121.995023701753,331.205001335030,546.799974963218
59.000000000000,117.853880926946,323.332605360851,558.813513712204
60.000000000000,113.678222351422,315.910596212002,570.411181436576
61.000000000000,109.491550845869,308.917845694269,581.590603459863
62.000000000000,105.315040897493,302.333308662120,592.351650440388
63.000000000000,101.167578563469,296.136214405828,602.696207030705
64.000000000000,97.065833807939,290.306220137368,612.627946054694
65.000000000000,93.024357744129,284.823531158539,622.152111097333
66.000000000000,89.055698162587,279.668992144914,631.275309692501
67.000000000000,85.170527612609,274.824153715230,640.005318672162
68.000000000000,81.377779172927,270.271318120716,648.350902706357
69.000000000000,77.684785869418,265.993567516077,656.321646614506
70.000000000000,74.097420452370,261.974777888773,663.927801658858
71.000000000000,70.620232922827,258.199621343826,671.180145733348
72.000000000000,67.256583792373,254.653559080159,678.089857127469
73.000000000000,64.008771573784,251.322827059204,684.668401367012
74.000000000000,60.878153434937,248.194416061646,690.927430503417
75.000000000000,57.865258310972,245.256047555394,696.878694133635
76.000000000000,54.969892066900,242.496146557328,702.533961375772
77.000000000000,52.191234542137,239.903812461639,707.904952996226
78.000000000000,49.527928497245,237.468788626720,713.003282876036
79.000000000000,46.978160628811,235.181431358070,717.840408013120
80.000000000000,44.539734927439,233.032678793776,722.427586278787
81.000000000000,42.210138732518,231.014020089240,726.775841178243
82.000000000000,39.986601891084,229.117465206184,730.895932902733
83.000000000000,37.866149461442,227.335515535217,734.798335003342
84.000000000000,35.845648419451,225.661135519068,738.493216061482
85.000000000000,33.921848829866,224.087725393018,741.990425777117
86.000000000000,32.091419939863,222.609095118242,745.299484941897
87.000000000000,30.350981639289,221.219439551168,748.429578809545
88.000000000000,28.697131714254,219.913314866210,751.389553419537
89.000000000000,27.126469299059,218.685616229125,754.187914471817
90.000000000000,25.635614907447,217.531556702814,756.832828389740
91.000000000000,24.221227398809,216.446647355813,759.332125245380
92.000000000000,22.880018209081,215.426678535161,761.693303255760
93.000000000000,21.608763150244,214.467702259403,763.923534590354
94.000000000000,20.404312057094,213.566015683429,766.029672259477
95.000000000000,19.263596535574,212.718145584517,768.018257879910
96.000000000000,18.183636043729,211.920833817753,769.895530138519
97.000000000000,17.161542514415,211.171023688871,771.667433796715
98.000000000000,16.194523708331,210.465847193105,773.339629098565
